NJ,ZYMC,YHDM
2011,社会学类02,107777
2011,社会学类02,107046
2011,社会学类02,107052
2011,社会学类02,107059
2011,社会学类02,107053
2011,社会学类02,107775
2011,社会学类02,107017
2011,社会学类02,107047
2011,社会学类02,107015
2011,社会学类02,107773
2011,社会学类02,105755
2011,社会学类02,107774
2011,社会学类02,107643
2011,社会学类02,107037
2011,社会学类02,107023
2011,社会学类02,107051
2011,社会学类02,107042
2011,社会学类02,107885
2011,社会学类02,105522
2011,社会学类02,105464
2011,社会学类02,107914
2011,社会学类02,106628
2011,社会学类02,107639
2011,社会学类02,105525
2011,社会学类02,107780
2011,社会学类02,107779
2011,社会学类02,107039
2011,社会学类02,105481
2011,社会学类02,105497
2011,社会学类02,105488
2011,社会学类02,107011
2011,社会学类02,107038
2011,社会学类02,107060
2011,社会学类02,107024
2011,社会学类02,105844
2011,社会学类02,105474
2011,社会学类02,105528
2011,社会学类02,107630
2011,社会学类02,108075
2011,社会学类02,107057
2011,社会学类02,105526
2011,社会学类02,108020
2011,社会学类02,105578
2011,社会学类02,105721
2011,社会学类02,108060
2011,社会学类02,109092
2011,社会学类02,108476
2011,社会学类02,107778
2011,社会学类02,105596
2011,社会学类02,107048
2011,社会学类02,105544
2011,社会学类02,107776
2011,社会学类02,105484
2011,社会学类02,107644
2011,社会学类02,107782
2011,社会学类02,105485
2011,社会学类02,107781
2011,社会学类02,108023
2011,社会学类02,108410
2011,社会学类02,107012
2011,社会学类02,109093
2011,社会学类02,107934
2011,社会学类02,108464
2011,社会学类02,107996
2011,社会学类02,105630
2011,社会学类02,105726
2011,社会学类02,107637
2011,社会学类02,106720
2011,社会学类02,107640
2011,社会学类02,107909
2011,社会学类02,108210
2011,社会学类02,107928
2011,社会学类02,107867
2011,社会学类02,108472
2011,社会学类02,108139
2011,社会学类02,108468
2011,社会学类02,107992
2011,社会学类02,105534
2011,社会学类02,109091
2011,社会学类02,105823
2011,社会学类02,108469
2011,生命科学类17,106660
2011,生命科学类17,105431
2011,生命科学类17,105464
2011,生命科学类17,105484
2011,生命科学类17,108210
2011,生命科学类17,105488
2011,生命科学类17,105610
2011,生命科学类17,105493
2011,生命科学类17,107621
2011,生命科学类17,106522
2011,生命科学类17,107626
2011,生命科学类17,106852
2011,生命科学类17,107005
2011,生命科学类17,106661
2011,生命科学类17,106524
2011,生命科学类17,107971
2011,生命科学类17,105481
2011,生命科学类17,105468
2011,生命科学类17,105485
2011,生命科学类17,105596
2011,生命科学类17,106656
2011,生命科学类17,105528
2011,生命科学类17,107006
2011,生命科学类17,106592
2011,生命科学类17,105507
2011,生命科学类17,105474
2011,生命科学类17,105522
2011,生命科学类17,107385
2011,生命科学类17,105476
2011,生命科学类17,105578
2011,生命科学类17,108410
2011,生命科学类17,106841
2011,生命科学类17,106543
2011,生命科学类17,105669
2011,生命科学类17,105551
2011,生命科学类17,105445
2011,生命科学类17,106114
2011,生命科学类17,105668
2011,生命科学类17,105891
2011,生命科学类17,105547
2011,生命科学类17,105545
2011,生命科学类17,107921
2011,生命科学类17,105537
2011,生命科学类17,105754
2011,生命科学类17,106732
2011,生命科学类17,107669
2011,生命科学类17,105585
2011,生命科学类17,105674
2011,生命科学类17,105889
2011,生命科学类17,105755
2011,生命科学类17,108075
2011,生命科学类17,106510
2011,生命科学类17,105583
2011,生命科学类17,107917
2011,生命科学类17,107927
2011,生命科学类17,108139
2011,生命科学类17,105525
2011,生命科学类17,108387
2011,生命科学类17,105478
2011,生命科学类17,105496
2011,生命科学类17,105497
2011,生命科学类17,106350
2011,生命科学类17,107894
2011,生命科学类17,106659
2011,生命科学类17,105726
2011,生命科学类17,105914
2011,生命科学类17,105544
2011,生命科学类17,105844
2011,生命科学类17,106288
2011,生命科学类17,105457
2011,生命科学类17,107909
2011,生命科学类17,105565
2011,生命科学类17,105435
2011,生命科学类17,107928
2011,生命科学类17,106608
2011,生命科学类17,106617
2011,生命科学类17,105584
2011,生命科学类17,106289
2011,生命科学类17,107883
2011,生命科学类17,105499
2011,生命科学类17,107884
2011,生命科学类17,107925
2011,生命科学类17,107892
2011,生命科学类17,105526
2011,社会学类02,107918
2011,社会学类02,106441
2011,社会学类02,105537
2011,社会学类02,106114
2011,社会学类02,107688
2011,社会学类02,107905
2011,社会学类02,107638
2011,社会学类02,108477
2011,社会学类02,106288
2011,社会学类02,105496
2011,社会学类02,107929
2011,社会学类02,106147
2011,生命科学类17,106779
2011,生命科学类17,106755
2011,生命科学类17,106793
2011,生命科学类17,107911
2011,生命科学类17,106067
2011,生命科学类17,105508
2011,生命科学类17,106858
2011,生命科学类17,106854
2011,生命科学类17,107745
2011,生命科学类17,105459
2011,生命科学类17,107543
2011,生命科学类17,106786
2011,生命科学类17,107004
2011,生命科学类17,106770
2011,生命科学类17,107918
2011,社会学类02,108466
2011,社会学类02,106926
2011,社会学类02,105677
2011,社会学类02,107882
2011,语言文学类01,105628
2011,语言文学类01,106701
2011,语言文学类01,106023
2011,语言文学类01,107420
2011,语言文学类01,105562
2011,语言文学类01,106628
2011,语言文学类01,105488
2011,语言文学类01,105637
2011,语言文学类01,107069
2011,语言文学类01,106021
2011,语言文学类01,107073
2011,语言文学类01,106441
2011,语言文学类01,107914
2011,语言文学类01,105583
