KSH,OLD_ZYMC,NEW_ZYMC,NJ
886173,物理学类01,仪器仪表类02,2011
899479,语言文学类05,语言文学类01,2011
899485,社会学类01,工科大类03,2011
899486,生命科学类28,生命科学类20,2011
899488,语言文学类05,工商管理类14,2011
899501,工商管理类04,交叉学科类02,2011
899514,数学类04,数学类01,2011
899516,数学类04,数学类02,2011
899519,生命科学类28,生命科学类22,2011
899521,化学类01,政法类06,2011
899529,语言文学类18,语言文学类12,2011
899537,语言文学类16,工商管理类09,2011
899545,语言文学类18,语言文学类12,2011
899557,工商管理类22,工商管理类01,2011
899558,生命科学类28,生命科学类20,2011
899559,语言文学类05,工商管理类09,2011
899562,化学类02,数学类01,2011
899565,语言文学类18,语言文学类12,2011
899566,交叉学科类23,工科大类15,2011
899567,生命科学类28,生命科学类22,2011
899568,化学类01,政法类06,2011
899572,语言文学类18,语言文学类12,2011
899573,数学类04,数学类02,2011
899574,生命科学类28,工商管理类21,2011
899468,语言文学类16,生命科学类01,2011
899577,语言文学类05,语言文学类03,2011
899466,交叉学科类23,仪器仪表类02,2011
899456,语言文学类18,语言文学类12,2011
899299,工商管理类12,工商管理类01,2011
899302,工商管理类14,工商管理类21,2011
899304,政法类02,工商管理类01,2011
899311,语言文学类18,政法类06,2011
899319,生命科学类28,生命科学类22,2011
899327,生命科学类28,生命科学类22,2011
899328,化学类08,工商管理类21,2011
899332,生命科学类28,生命科学类20,2011
899341,语言文学类18,语言文学类13,2011
899344,生命科学类03,工商管理类01,2011
899352,工商管理类09,工商管理类01,2011
899355,语言文学类04,工科大类03,2011
899383,生命科学类28,生命科学类20,2011
899388,语言文学类18,语言文学类12,2011
899389,生命科学类02,生命科学类01,2011
899394,数学类04,数学类02,2011
899396,生命科学类03,生命科学类17,2011
899400,交叉学科类18,工商管理类21,2011
899420,工商管理类14,工商管理类21,2011
899426,生命科学类28,工商管理类01,2011
899429,生命科学类28,生命科学类20,2011
899441,生命科学类28,机械类01,2011
899449,生命科学类02,工商管理类21,2011
899460,语言文学类18,语言文学类12,2011
899590,交叉学科类17,工商管理类01,2011
899594,生命科学类01,工科大类04,2011
899601,生命科学类03,工商管理类21,2011
899776,语言文学类18,语言文学类12,2011
899794,工商管理类12,工科大类03,2011
899796,数学类04,数学类01,2011
899803,语言文学类01,语言文学类12,2011
899804,政法类01,工商管理类01,2011
899811,生命科学类01,交叉学科类22,2011
899812,社会学类01,工科大类03,2011
899816,生命科学类28,生命科学类20,2011
899820,生命科学类13,工科大类03,2011
899822,数学类04,数学类01,2011
899826,工商管理类08,工商管理类01,2011
899832,工商管理类09,工商管理类01,2011
899839,语言文学类18,语言文学类13,2011
899841,生命科学类28,生命科学类22,2011
899843,语言文学类18,语言文学类12,2011
899863,数学类04,数学类01,2011
899864,生命科学类02,生命科学类01,2011
899871,社会学类01,工科大类23,2011
899877,数学类04,数学类02,2011
899884,物理学类04,交叉学科类18,2011
899886,数学类04,数学类02,2011
899889,语言文学类18,语言文学类12,2011
899890,生命科学类28,生命科学类22,2011
899774,生命科学类15,生命科学类20,2011
899771,工科大类03,语言文学类01,2011
899766,生命科学类10,工商管理类21,2011
899762,数学类04,数学类02,2011
899610,数学类04,数学类01,2011
899612,数学类04,数学类02,2011
899621,生命科学类03,生命科学类01,2011
899627,数学类04,数学类02,2011
899628,化学类08,工商管理类21,2011
899642,生命科学类28,生命科学类20,2011
899648,语言文学类16,工商管理类20,2011
899651,政法类01,工商管理类01,2011
899654,生命科学类28,生命科学类20,2011
899660,语言文学类04,工商管理类01,2011
899674,政法类02,政法类06,2011
899285,机械类01,工商管理类01,2011
899683,语言文学类05,交叉学科类17,2011
899691,语言文学类05,机械类03,2011
899696,政法类02,工科大类23,2011
899697,生命科学类28,生命科学类20,2011
899700,工商管理类04,工商管理类08,2011
899708,生命科学类02,机械类01,2011
899715,数学类04,数学类02,2011
899716,语言文学类18,语言文学类12,2011
899719,生命科学类28,生命科学类20,2011
899743,语言文学类05,政法类06,2011
899758,语言文学类15,工科大类24,2011
899760,语言文学类15,工科大类15,2011
899690,语言文学类18,语言文学类12,2011
899894,生命科学类28,工商管理类09,2011
899280,工商管理类22,工商管理类09,2011
899272,工商管理类04,生命科学类17,2011
898819,生命科学类02,交叉学科类05,2011
898825,化学类02,工商管理类01,2011
898828,生命科学类02,交叉学科类02,2011
898836,政法类01,工商管理类21,2011
898845,工商管理类04,工商管理类21,2011
898850,语言文学类05,工商管理类12,2011
898855,机械类03,工科大类15,2011
898856,生命科学类02,工商管理类01,2011
898857,数学类04,数学类01,2011
898860,生命科学类28,工商管理类20,2011
898866,语言文学类18,语言文学类12,2011
898869,语言文学类18,语言文学类12,2011
898874,生命科学类28,工商管理类01,2011
